"symbol"	"prevSymbols"	"synonyms"	"name"	"refSeqName"
"1993"	"AIFM2"	"AMID"	"FLJ14497,PRG3"	"apoptosis inducing factor, mitochondria associated 2"	"AIFM2"
"1994"	"PACSIN2"	""	"SDPII"	"protein kinase C and casein kinase substrate in neurons 2"	"PACSIN2"
"1995"	"RECQL4"	""	"RECQ4"	"RecQ like helicase 4"	"RECQL4"
"1996"	"KMT2C"	"MLL3"	"KIAA1506,HALR"	"lysine methyltransferase 2C"	"KMT2C"
"1997"	"NCOR2"	""	"SMRT,SMRTE,TRAC-1,CTG26,TNRC14"	"nuclear receptor corepressor 2"	"NCOR2"
"1998"	"MARS"	""	"METRS,SPG70,CMT2U"	"methionyl-tRNA synthetase"	"MARS"
"1999"	"TBX2"	""	""	"T-box 2"	"TBX2"
"2000"	"GEN1"	""	"FLJ40869,GEN"	"GEN1, Holliday junction 5' flap endonuclease"	"GEN1"
"2001"	"LMF1"	"C16ORF26,TMEM112"	"FLJ12681,JFP11,FLJ22302,TMEM112A"	"lipase maturation factor 1"	"LMF1"
"2002"	"MAPKAPK2"	""	""	"mitogen-activated protein kinase-activated protein kinase 2"	"MAPKAPK2"
"2003"	"HIC1"	""	"ZBTB29,ZNF901"	"HIC ZBTB transcriptional repressor 1"	"HIC1"
"2004"	"TCF7L2"	"TCF4"	"TCF-4"	"transcription factor 7 like 2"	"TCF7L2"
"2005"	"MYD88"	""	""	"myeloid differentiation primary response 88"	"MYD88"
"2006"	"CITED2"	""	"MRG1"	"Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2"	"CITED2"
"2007"	"ASPM"	"MCPH5"	"CALMBP1,ASP,FLJ10517,FLJ10549"	"abnormal spindle microtubule assembly"	"ASPM"
"2008"	"USP39"	""	"SAD1,CGI-21,SNRNP65"	"ubiquitin specific peptidase 39"	"USP39"
"2009"	"MAPK4"	"PRKM4"	"ERK3-RELATED,ERK4"	"mitogen-activated protein kinase 4"	"MAPK4"
"2010"	"PTPRG"	"PTPG"	"RPTPG"	"protein tyrosine phosphatase, receptor type G"	"PTPRG"
"2011"	"TAGLN"	""	"SM22,WS3-10,TAGLN1,SMCC,DKFZP686P11128"	"transgelin"	"TAGLN"
"2012"	"SLC29A1"	"ENT1"	""	"solute carrier family 29 member 1 (Augustine blood group)"	"SLC29A1"
"2013"	"RAB5C"	"RABL"	"RAB5CL"	"RAB5C, member RAS oncogene family"	"RAB5C"
"2014"	"DAB2IP"	""	"AF9Q34,DIP1/2,KIAA1743,AIP1"	"DAB2 interacting protein"	"DAB2IP"
"2015"	"TRB"	"TCRB,TRB@"	""	"T cell receptor beta locus"	NA
"2016"	"SCARB1"	"CD36L1"	"SRB1,CLA-1,CLA1,SR-BI"	"scavenger receptor class B member 1"	"SCARB1"
"2017"	"PIM3"	""	""	"Pim-3 proto-oncogene, serine/threonine kinase"	"PIM3"
"2018"	"PTPRH"	""	"SAP-1"	"protein tyrosine phosphatase, receptor type H"	"PTPRH"
"2019"	"ERBB3"	"LCCS2"	"HER3"	"erb-b2 receptor tyrosine kinase 3"	"ERBB3"
"2020"	"SDHB"	"SDH1,SDH"	""	"succinate dehydrogenase complex iron sulfur subunit B"	"SDHB"
"2021"	"DLEU1"	"DLB1,BCMS"	"LEU1,XTP6,NCRNA00021,LINC00021,BCMS1"	"deleted in lymphocytic leukemia 1 (non-protein coding)"	"DLEU1"
"2022"	"PCDHB7"	""	"PCDH-BETA7"	"protocadherin beta 7"	"PCDHB7"
"2023"	"SP140"	""	"LYSP100-B,LYSP100-A"	"SP140 nuclear body protein"	"SP140"
"2024"	"CCND2-AS1"	"CCND2-AS2"	""	"CCND2 antisense RNA 1"	"CCND2-AS1"
"2025"	"PBX3"	""	""	"PBX homeobox 3"	"PBX3"
"2026"	"DLEU2"	"DLB2,BCMSUN,RFP2OS"	"LEU2,TRIM13OS,NCRNA00022,LINC00022,MIR15AHG"	"deleted in lymphocytic leukemia 2 (non-protein coding)"	"DLEU2"
"2027"	"TEC"	""	"PSCTK4"	"tec protein tyrosine kinase"	"TEC"
"2028"	"NAMPT"	"PBEF1"	"PBEF"	"nicotinamide phosphoribosyltransferase"	"NAMPT"
"2029"	"MED28"	""	"EG1,DKFZP434N185,MAGICIN"	"mediator complex subunit 28"	"MED28"
"2030"	"CD59"	"MIC11,MIN1,MSK21,MIN2,MIN3"	"16.3A5,EJ16,EJ30,EL32,G344,P18-20"	"CD59 molecule (CD59 blood group)"	"CD59"
"2031"	"CLEC1B"	""	"CLEC2"	"C-type lectin domain family 1 member B"	"CLEC1B"
"2032"	"S100A4"	"MTS1,CAPL"	"P9KA,18A2,PEL98,42A,FSP1"	"S100 calcium binding protein A4"	"S100A4"
"2033"	"IRS2"	""	""	"insulin receptor substrate 2"	"IRS2"
"2034"	"TPBG"	""	"5T4-AG,5T4"	"trophoblast glycoprotein"	"TPBG"
"2035"	"MARCKS"	"MACS"	"PKCSL,80K-L"	"myristoylated alanine rich protein kinase C substrate"	"MARCKS"
"2036"	"SLC1A5"	"RDRC,M7V1"	"AAAT,ASCT2"	"solute carrier family 1 member 5"	"SLC1A5"
"2037"	"DDC"	""	"AADC"	"dopa decarboxylase"	"DDC"
"2038"	"AAMP"	""	""	"angio associated migratory cell protein"	"AAMP"
"2039"	"MYLK"	""	"MLCK,SMMLCK,MYLK1,MLCK1"	"myosin light chain kinase"	"MYLK"
"2040"	"ABCC10"	""	"EST182763,MRP7,SIMRP7"	"ATP binding cassette subfamily C member 10"	"ABCC10"
"2041"	"ABCC11"	""	"MRP8"	"ATP binding cassette subfamily C member 11"	"ABCC11"
"2042"	"CX3CL1"	"SCYD1"	"NTN,C3XKINE,ABCD-3,CXC3C,CXC3,FRACTALKINE,NEUROTACTIN"	"C-X3-C motif chemokine ligand 1"	"CX3CL1"
"2043"	"FOXF1"	"FKHL5"	"FREAC1"	"forkhead box F1"	"FOXF1"
"2044"	"ACHE"	"YT"	""	"acetylcholinesterase (Cartwright blood group)"	"ACHE"
"2045"	"ACLY"	""	"ATPCL,CLATP,ACL"	"ATP citrate lyase"	"ACLY"
"2046"	"ACTN4"	"FSGS1"	""	"actinin alpha 4"	"ACTN4"
"2047"	"ACVR1"	"ACVRLK2"	"SKR1,ALK2,ACVR1A"	"activin A receptor type 1"	"ACVR1"
"2048"	"ACVRL1"	"ACVRLK1,ORW2"	"HHT2,ALK1,HHT"	"activin A receptor like type 1"	"ACVRL1"
"2049"	"ADAM10"	""	"KUZ,MADM,HST18717,CD156C"	"ADAM metallopeptidase domain 10"	"ADAM10"
"2050"	"NR5A1"	"FTZF1"	"FTZ1,SF-1,ELP,AD4BP,HSF-1,SF1"	"nuclear receptor subfamily 5 group A member 1"	"NR5A1"
"2051"	"DPP4"	"CD26,ADCP2"	"DPPIV"	"dipeptidyl peptidase 4"	"DPP4"
"2052"	"ADAM17"	"TACE"	"CSVP,CD156B"	"ADAM metallopeptidase domain 17"	"ADAM17"
"2053"	"ADAMTS12"	""	""	"ADAM metallopeptidase with thrombospondin type 1 motif 12"	"ADAMTS12"
"2054"	"ADAMTS9"	""	"KIAA1312"	"ADAM metallopeptidase with thrombospondin type 1 motif 9"	"ADAMTS9"
"2055"	"FBLN5"	""	"EVEC,UP50,DANCE,ARMD3"	"fibulin 5"	"FBLN5"
"2056"	"ADCYAP1"	""	"PACAP"	"adenylate cyclase activating polypeptide 1"	"ADCYAP1"
"2057"	"SSX2IP"	""	"HMSD1"	"SSX family member 2 interacting protein"	"SSX2IP"
"2058"	"ADRB2"	"ADRB2R"	"ADRBR,BAR,B2AR"	"adrenoceptor beta 2"	"ADRB2"
"2059"	"AFAP1L2"	"KIAA1914"	"FLJ14564,EM:AC005383.4,XB130"	"actin filament associated protein 1 like 2"	"AFAP1L2"
"2060"	"AFP"	"HPAFP"	"FETA"	"alpha fetoprotein"	"AFP"
"2061"	"BLNK"	""	"SLP65,LY57,SLP-65,BLNK-S,BASH,BCA"	"B cell linker"	"BLNK"
"2062"	"NR0B1"	"AHC,DSS"	"DAX1,AHCH"	"nuclear receptor subfamily 0 group B member 1"	"NR0B1"
"2063"	"FKBP5"	""	"FKBP51,FKBP54,PPIASE,P54,PTG-10"	"FK506 binding protein 5"	"FKBP5"
"2064"	"AURKB"	"STK12"	"AIK2,IPL1,AURB,AIM-1,ARK2,STK5,PPP1R48"	"aurora kinase B"	"AURKB"
"2065"	"AIP"	""	"XAP2,ARA9,FKBP16"	"aryl hydrocarbon receptor interacting protein"	"AIP"
"2066"	"TP63"	"TP73L,TP53L,TP53CP"	"P51,SHFM4,EEC3,P63,P73L,OFC8,KET,P73H,NBP,P53CP"	"tumor protein p63"	"TP63"
"2067"	"AKT1S1"	""	"PRAS40,MGC2865,LOBE"	"AKT1 substrate 1"	"AKT1S1"
"2068"	"ALCAM"	""	"CD166,MEMD"	"activated leukocyte cell adhesion molecule"	"ALCAM"
"2069"	"SLPI"	""	"HUSI-I,ALK1,ALP,BLPI,HUSI,WAP4,WFDC4"	"secretory leukocyte peptidase inhibitor"	"SLPI"
"2070"	"VCP"	""	"IBMPFD,P97,CDC48,TERA"	"valosin containing protein"	"VCP"
"2071"	"ASAP1"	"DDEF1"	"PAP,KIAA1249,ZG14P,CENTB4"	"ArfGAP with SH3 domain, ankyrin repeat and PH domain 1"	"ASAP1"
"2072"	"AMBN"	""	""	"ameloblastin"	"AMBN"
"2073"	"ANKHD1"	""	"MASK,FLJ20288,FLJ11979,FLJ10042,FLJ14127,KIAA1085,MASK1"	"ankyrin repeat and KH domain containing 1"	"ANKHD1"
"2074"	"PRDX4"	""	"AOE37-2"	"peroxiredoxin 4"	"PRDX4"
"2075"	"LIPE"	""	"HSL"	"lipase E, hormone sensitive type"	"LIPE"
"2076"	"TFAP2C"	""	"AP2-GAMMA,ERF1,TFAP2G,HAP-2G"	"transcription factor AP-2 gamma"	"TFAP2C"
"2077"	"ENOX2"	"COVA1"	"APK1,TNOX"	"ecto-NOX disulfide-thiol exchanger 2"	"ENOX2"
"2078"	"AQP4"	""	"MIWC"	"aquaporin 4"	"AQP4"
"2079"	"FOXC1"	"FKHL7,IRID1"	"FREAC3,ARA,IGDA,IHG1"	"forkhead box C1"	"FOXC1"
"2080"	"PPP1R8"	""	"ARD-1,NIPP-1,PRO2047,ARD1,NIPP1"	"protein phosphatase 1 regulatory subunit 8"	"PPP1R8"
"2081"	"RND3"	"ARHE"	"RHOE,RHO8"	"Rho family GTPase 3"	"RND3"
"2082"	"ARHGAP21"	""	"KIAA1424,ARHGAP10"	"Rho GTPase activating protein 21"	"ARHGAP21"
"2083"	"ARID5B"	""	"FLJ21150,MRF2"	"AT-rich interaction domain 5B"	"ARID5B"
"2084"	"PRKN"	"PARK2"	"PDJ,AR-JP,PARKIN"	"parkin RBR E3 ubiquitin protein ligase"	"PARK2"
"2085"	"NUAK1"	""	"ARK5,KIAA0537,NUAK1"	"NUAK family kinase 1"	"NUAK1"
"2086"	"PYCARD"	""	"TMS-1,CARD5,ASC"	"PYD and CARD domain containing"	"PYCARD"
"2087"	"ATMIN"	""	"ASCIZ,KIAA0431,ZNF822"	"ATM interactor"	"ATMIN"
"2088"	"SRSF1"	"SFRS1"	"ASF,SF2,SRP30A,SF2P33,MGC5228"	"serine and arginine rich splicing factor 1"	"SRSF1"
"2089"	"ASH2L"	"ASH2L1"	"ASH2L2,ASH2,BRE2"	"ASH2 like, histone lysine methyltransferase complex subunit"	"ASH2L"
"2090"	"ATG2B"	"C14ORF103"	"FLJ10242"	"autophagy related 2B"	"ATG2B"
"2091"	"SOCS3"	""	"SSI-3,CIS3,SOCS-3,CISH3"	"suppressor of cytokine signaling 3"	"SOCS3"
"2092"	"ATP2B4"	"ATP2B2,MXRA1"	"PMCA4"	"ATPase plasma membrane Ca2+ transporting 4"	"ATP2B4"
"2093"	"ATP5F1B"	"ATPSB,ATP5B"	""	"ATP synthase F1 subunit beta"	"ATP5B"
"2094"	"AUTS2"	""	"KIAA0442,FBRSL2"	"AUTS2, activator of transcription and developmental regulator"	"AUTS2"
"2095"	"AVEN"	""	"PDCD12"	"apoptosis and caspase activation inhibitor"	"AVEN"
"2096"	"NME1"	""	"NM23,NM23-H1,NDPKA"	"NME/NM23 nucleoside diphosphate kinase 1"	"NME1"
"2097"	"TACC2"	""	"AZU-1"	"transforming acidic coiled-coil containing protein 2"	"TACC2"
"2098"	"NDUFA13"	""	"CGI-39,CDA016,GRIM-19,GRIM19,B16.6"	"NADH:ubiquinone oxidoreductase subunit A13"	"NDUFA13"
"2100"	"NR1H4"	""	"FXR,RIP14,HRR1,HRR-1"	"nuclear receptor subfamily 1 group H member 4"	"NR1H4"
"2101"	"SPARC"	"ON"	""	"secreted protein acidic and cysteine rich"	"SPARC"
"2102"	"EHMT2"	"C6ORF30,BAT8"	"G9A,EM:AF134726.3,NG36/G9A,KMT1C"	"euchromatic histone lysine methyltransferase 2"	"EHMT2"
"2103"	"SLC19A3"	""	"THTR2"	"solute carrier family 19 member 3"	"SLC19A3"
"2104"	"MYO1A"	"MYHL,DFNA48"	""	"myosin IA"	"MYO1A"
"2105"	"BCAR1"	""	"P130CAS,CRKAS,CAS,CASS1"	"BCAR1, Cas family scaffold protein"	"BCAR1"
"2106"	"BCL2L14"	""	"BCLG,BCL-G"	"BCL2 like 14"	"BCL2L14"
"2107"	"BCL2L15"	"C1ORF178"	"BFK,FLJ22588"	"BCL2 like 15"	"BCL2L15"
"2108"	"BCLAF1"	""	"KIAA0164,BTF"	"BCL2 associated transcription factor 1"	"BCLAF1"
"2109"	"LDOC1"	"BCUR1"	"MAR7,MART7,SIRH7,RTL7"	"LDOC1, regulator of NFKB signaling"	"LDOC1"
"2110"	"OSGIN1"	""	"BDGI,OKL38"	"oxidative stress induced growth inhibitor 1"	"OSGIN1"
"2111"	"NACC1"	"BTBD14B"	"NAC1,NAC-1,BEND8,BTBD30"	"nucleus accumbens associated 1"	"NACC1"
"2112"	"BEX2"	""	"DJ79P11.1"	"brain expressed X-linked 2"	"BEX2"
"2113"	"BEX1"	""	""	"brain expressed X-linked 1"	"BEX1"
"2114"	"OCA2"	"D15S12,P,EYCL3,EYCL2"	"BEY2,EYCL,BEY,BEY1"	"OCA2 melanosomal transmembrane protein"	"OCA2"
"2115"	"FABP7"	""	"B-FABP,BLBP"	"fatty acid binding protein 7"	"FABP7"
"2116"	"HRK"	""	"DP5"	"harakiri, BCL2 interacting protein"	"HRK"
"2117"	"CARD10"	""	"CARMA3,BIMP1"	"caspase recruitment domain family member 10"	"CARD10"
"2118"	"ZMYND10"	""	"BLU,CILD22"	"zinc finger MYND-type containing 10"	"ZMYND10"
"2119"	"BMP4"	"BMP2B"	""	"bone morphogenetic protein 4"	"BMP4"
"2120"	"BNIP3L"	""	"NIX,BNIP3A"	"BCL2 interacting protein 3 like"	"BNIP3L"
"2121"	"RANBP9"	""	"RANBPM"	"RAN binding protein 9"	"RANBP9"
"2122"	"PTK6"	""	"BRK"	"protein tyrosine kinase 6"	"PTK6"
"2123"	"POU3F2"	"OTF7"	"POUF3,BRN2,OCT7"	"POU class 3 homeobox 2"	"POU3F2"
"2124"	"GRHL2"	"DFNA28,TFCP2L3"	"FLJ13782,BOM"	"grainyhead like transcription factor 2"	"GRHL2"
"2125"	"CELF2"	"CUGBP2"	"ETR-3,NAPOR-2,BRUNOL3"	"CUGBP Elav-like family member 2"	"CELF2"
"2126"	"BYSL"	""	"ENP1"	"bystin like"	"BYSL"
"2127"	"FAM107B"	"C10ORF45"	"FLJ45505,MGC11034,HITS"	"family with sequence similarity 107 member B"	"FAM107B"
"2128"	"TIGAR"	"C12ORF5"	""	"TP53 induced glycolysis regulatory phosphatase"	"TIGAR"
"2129"	"GSKIP"	"C14ORF129"	""	"GSK3B interacting protein"	"GSKIP"
"2130"	"USB1"	"C16ORF57"	"FLJ13154,HVSL1,MPN1"	"U6 snRNA biogenesis phosphodiesterase 1"	"USB1"
"2131"	"MIEN1"	"C17ORF37"	"MGC14832,ORB3,XTP4,C35,RDX12"	"migration and invasion enhancer 1"	"MIEN1"
"2132"	"STMN1"	"LAP18,C1ORF215"	"SMN,OP18,PR22,PP19,PP17,LAG,FLJ32206"	"stathmin 1"	"STMN1"
"2133"	"SRXN1"	"C20ORF139"	"NPN3,SRX1,YKL086W,DJ850E9.2"	"sulfiredoxin 1"	"SRXN1"
"2134"	"TPX2"	"C20ORF2,C20ORF1"	"P100,DIL-2"	"TPX2, microtubule nucleation factor"	"TPX2"
"2135"	"GCFC2"	"TCF9,C2ORF3"	"DNABF,GCF"	"GC-rich sequence DNA-binding factor 2"	"GCFC2"
"2136"	"CTDSPL"	"C3ORF8"	"HYA22,SCP3,PSR1,RBSP3"	"CTD small phosphatase like"	"CTDSPL"
"2137"	"CHST11"	""	"C4ST1,C4ST-1,C4ST,HSA269537"	"carbohydrate sulfotransferase 11"	"CHST11"
"2138"	"CENPW"	"C6ORF173"	"CUG2"	"centromere protein W"	"CENPW"
"2139"	"PDSS2"	"C6ORF210"	"BA59I9.3"	"decaprenyl diphosphate synthase subunit 2"	"PDSS2"
"2140"	"TRIB1"	""	"C8FW,GIG2,TRB1"	"tribbles pseudokinase 1"	"TRIB1"
"2141"	"CADM4"	"IGSF4C"	"TSLL2,NECL-4,SYNCAM4"	"cell adhesion molecule 4"	"CADM4"
"2142"	"EEF2K"	""	"EEF-2K"	"eukaryotic elongation factor 2 kinase"	"EEF2K"
"2143"	"CALR"	""	"RO,SSA,CC1QR,CRT,FLJ26680"	"calreticulin"	"CALR"
"2144"	"S100A2"	"S100L"	"CAN19"	"S100 calcium binding protein A2"	"S100A2"
"2145"	"IL17F"	""	"IL-17F,ML-1,ML1"	"interleukin 17F"	"IL17F"
"2146"	"PARK7"	""	"DJ-1,DJ1,GATD2"	"Parkinsonism associated deglycase"	"PARK7"
"2147"	"PRSS8"	""	""	"serine protease 8"	"PRSS8"
"2148"	"CASR"	"HHC,HHC1"	"FHH,NSHPT,GPRC2A"	"calcium sensing receptor"	"CASR"
"2149"	"CARTPT"	""	"CART"	"CART prepropeptide"	"CARTPT"
"2150"	"CASZ1"	""	"FLJ20321,ZNF693,CASTOR,CST,SRG"	"castor zinc finger 1"	"CASZ1"
"2151"	"TYRP1"	"TYRP,CAS2"	"GP75,CATB,TRP,B-PROTEIN,OCA3"	"tyrosinase related protein 1"	"TYRP1"
"2152"	"CASP7"	""	"MCH3,CMH-1,ICE-LAP3"	"caspase 7"	"CASP7"
"2153"	"CASP8AP2"	""	"FLASH,CED-4,RIP25,FLJ11208,KIAA1315"	"caspase 8 associated protein 2"	"CASP8AP2"
"2154"	"PIMREG"	"FAM64A"	"FLJ10156,FLJ10491,CATS,RCS1"	"PICALM interacting mitotic regulator"	"FAM64A"
"2155"	"CBX7"	""	""	"chromobox 7"	"CBX7"
"2156"	"CEBPE"	""	"CRP1"	"CCAAT enhancer binding protein epsilon"	"CEBPE"
"2157"	"CXCR1"	"CMKAR1,IL8RA"	"CKR-1,CDW128A,CD181"	"C-X-C motif chemokine receptor 1"	"CXCR1"
"2158"	"CCAR2"	"KIAA1967"	"DBC-1,DBC1,NET35"	"cell cycle and apoptosis regulator 2"	"CCAR2"
"2159"	"CCR2"	"CMKBR2"	"CC-CKR-2,CKR2,MCP-1-R,CD192,FLJ78302"	"C-C motif chemokine receptor 2"	"CCR2"
"2160"	"PDCD10"	"CCM3"	"TFAR15"	"programmed cell death 10"	"PDCD10"
"2161"	"CCNA1"	""	"CT146"	"cyclin A1"	"CCNA1"
"2162"	"ENG"	"ORW1,ORW"	"END,HHT1,CD105"	"endoglin"	"ENG"
"2163"	"IL7R"	""	"CD127"	"interleukin 7 receptor"	"IL7R"
"2164"	"MCAM"	""	"MUC18,CD146"	"melanoma cell adhesion molecule"	"MCAM"
"2165"	"FCER2"	"CD23A,FCE2"	"CLEC4J,CD23"	"Fc fragment of IgE receptor II"	"FCER2"
"2166"	"SIVA1"	""	"SIVA,SIVA-1,SIVA-2,CD27BP"	"SIVA1 apoptosis inducing factor"	"SIVA1"
"2167"	"CD2AP"	""	"CMS"	"CD2 associated protein"	"CD2AP"
"2168"	"CDCP1"	""	"CD318,SIMA135"	"CUB domain containing protein 1"	"CDCP1"
"2169"	"NCR2"	"LY95"	"NK-P44,CD336"	"natural cytotoxicity triggering receptor 2"	"NCR2"
"2170"	"FZD4"	"EVR1"	"CD344"	"frizzled class receptor 4"	"FZD4"
"2171"	"CD38"	""	""	"CD38 molecule"	"CD38"
"2172"	"ITGA1"	""	"VLA1,CD49A"	"integrin subunit alpha 1"	"ITGA1"
"2173"	"ITGA6"	""	"CD49F"	"integrin subunit alpha 6"	"ITGA6"
"2174"	"CEACAM5"	"CEA"	"CD66E"	"carcinoembryonic antigen related cell adhesion molecule 5"	"CEACAM5"
"2175"	"NT5E"	"NT5"	"CD73,EN,ENT,CALJA"	"5'-nucleotidase ecto"	"NT5E"
"2176"	"SEPT7"	"CDC10"	"CDC3,SEPT7A"	"septin 7"	"SEPT7"
"2177"	"CDH17"	""	"HPT-1,CADHERIN"	"cadherin 17"	"CDH17"
"2178"	"CDH3"	""	"CDHP,PCAD"	"cadherin 3"	"CDH3"
"2179"	"CEMIP"	"KIAA1199"	"IR2155535,TMEM2L,HYBID"	"cell migration inducing hyaluronidase 1"	"CEMIP"
"2180"	"CEP57"	""	"TRANSLOKIN,TSP57,KIAA0092"	"centrosomal protein 57"	"CEP57"
"2181"	"CLDN7"	"CEPTRL2,CPETRL2"	"HS.84359"	"claudin 7"	"CLDN7"
"2182"	"THRB"	"ERBA2,PRTH"	"THRB1,THRB2,NR1A2,THR1,ERBA-BETA,GRTH"	"thyroid hormone receptor beta"	"THRB"
"2183"	"CXXC5"	""	"HSPC195,RINF,WID"	"CXXC finger protein 5"	"CXXC5"
"2184"	"CFAP99"	""	""	"cilia and flagella associated protein 99"	"CFAP99"
"2185"	"YPEL5"	""	"CGI-127"	"yippee like 5"	"YPEL5"
"2186"	"CHD6"	""	"KIAA1335,FLJ22369,DJ620E11.1,CHD5,RIGB"	"chromodomain helicase DNA binding protein 6"	"CHD6"
"2187"	"SOCS6"	"SOCS4"	"CIS4,SSI4,HSPC060,STATI4,STAI4,CISH4"	"suppressor of cytokine signaling 6"	"SOCS6"
"2188"	"DUSP1"	"PTPN10"	"HVH1,CL100,MKP-1"	"dual specificity phosphatase 1"	"DUSP1"
"2189"	"MICA"	""	"PERB11.1"	"MHC class I polypeptide-related sequence A"	"MICA"
"2190"	"CLDN10"	""	"OSP-L,CPETRL3"	"claudin 10"	"CLDN10"
"2191"	"CLDN6"	""	""	"claudin 6"	"CLDN6"
"2192"	"CLDN9"	""	""	"claudin 9"	"CLDN9"
"2193"	"CLIC1"	""	"NCC27,P64CLCP,G6"	"chloride intracellular channel 1"	"CLIC1"
"2194"	"CLSPN"	""	""	"claspin"	"CLSPN"
"2195"	"TYR"	""	"OCAIA,OCA1A,OCA1"	"tyrosinase"	"TYR"
"2196"	"HSPB8"	""	"H11,E2IG1,HSP22,HSPB8,CMT2L"	"heat shock protein family B (small) member 8"	"HSPB8"
"2197"	"CPEB4"	""	"KIAA1673"	"cytoplasmic polyadenylation element binding protein 4"	"CPEB4"
"2198"	"POU1F1"	"PIT1"	"GHF-1,POU1F1A,PIT-1"	"POU class 1 homeobox 1"	"POU1F1"
"2199"	"CPM"	""	""	"carboxypeptidase M"	"CPM"
"2200"	"XPO1"	""	"CRM1,EMB"	"exportin 1"	"XPO1"
"2201"	"MSX2"	"PFM1"	"CRS2,FPP,HOX8,MSH,PFM"	"msh homeobox 2"	"MSX2"
"2202"	"LIN28B"	""	"FLJ16517,CSDD2"	"lin-28 homolog B"	"LIN28B"
"2203"	"NKX2-3"	"NKX2C"	"NKX2.3,CSX3,NKX4-3"	"NK2 homeobox 3"	"NKX2-3"
"2204"	"PRAME"	"MAPE"	"CT130"	"preferentially expressed antigen in melanoma"	"PRAME"
"2205"	"MAGEA3"	"MAGE3"	"HYPD,HIP8,MGC14613,CT1.3"	"MAGE family member A3"	"MAGEA3"
"2206"	"PASD1"	""	"CT63"	"PAS domain containing repressor 1"	"PASD1"
"2207"	"TSPY1"	"TSPY"	"CT78"	"testis specific protein Y-linked 1"	"TSPY1"
"2208"	"PIWIL2"	""	"HILI,FLJ10351,MILI,CT80"	"piwi like RNA-mediated gene silencing 2"	"PIWIL2"
"2209"	"CTCF"	""	""	"CCCTC-binding factor"	"CTCF"
"2210"	"TNS4"	""	"CTEN"	"tensin 4"	"TNS4"
"2211"	"GZMA"	"HFSP,CTLA3"	""	"granzyme A"	"GZMA"
"2212"	"KLLN"	""	"KILLIN"	"killin, p53 regulated DNA replication inhibitor"	"KLLN"
"2213"	"CXCL12"	"SDF1A,SDF1B,SDF1"	"SCYB12,SDF-1A,SDF-1B,PBSF,TLSF-A,TLSF-B,TPAR1"	"C-X-C motif chemokine ligand 12"	"CXCL12"
"2214"	"CXCL17"	""	"DCIP1,UNQ473,DMC,VCC1"	"C-X-C motif chemokine ligand 17"	"CXCL17"
"2215"	"PF4"	""	"SCYB4,CXCL4"	"platelet factor 4"	"PF4"
"2216"	"PF4V1"	""	"SCYB4V1,CXCL4V1,CXCL4L1"	"platelet factor 4 variant 1"	"PF4V1"
"2217"	"CXCL5"	"SCYB5"	"ENA-78"	"C-X-C motif chemokine ligand 5"	"CXCL5"
"2218"	"CYB5A"	"CYB5"	""	"cytochrome b5 type A"	"CYB5A"
"2219"	"RACGAP1"	""	"MGCRACGAP"	"Rac GTPase activating protein 1"	"RACGAP1"
"2220"	"CYP4B1"	""	""	"cytochrome P450 family 4 subfamily B member 1"	"CYP4B1"
"2221"	"DGKA"	"DAGK,DAGK1"	"DGK-ALPHA"	"diacylglycerol kinase alpha"	"DGKA"
"2222"	"DAPK2"	""	"DRP-1,MGC119312"	"death associated protein kinase 2"	"DAPK2"
"2223"	"PDZK1IP1"	""	"DD96,MAP17,SPAP"	"PDZK1 interacting protein 1"	"PDZK1IP1"
"2224"	"DDIT4"	""	"RTP801,FLJ20500,REDD-1,REDD1,DIG2"	"DNA damage inducible transcript 4"	"DDIT4"
"2225"	"DDX25"	""	"GRTH"	"DEAD-box helicase 25"	"DDX25"
"2226"	"PIAS1"	"DDXBP1"	"GBP,GU/RH-II,ZMIZ3"	"protein inhibitor of activated STAT 1"	"PIAS1"
"2227"	"EDIL3"	""	"DEL1"	"EGF like repeats and discoidin domains 3"	"EDIL3"
"2228"	"TWIST2"	""	"DERMO1,DERMO-1,BHLHA39"	"twist family bHLH transcription factor 2"	"TWIST2"
"2229"	"DIABLO"	""	"SMAC,DIABLO-S,FLJ25049,FLJ10537,DFNA64"	"diablo IAP-binding mitochondrial protein"	"DIABLO"
"2230"	"DHFR"	""	""	"dihydrofolate reductase"	"DHFR"
"2231"	"EFEMP1"	"DHRD,FBNL"	"S1-5,FBLN3,MTLV"	"EGF containing fibulin extracellular matrix protein 1"	"EFEMP1"
"2232"	"GUCY2C"	"GUC2C"	"STAR"	"guanylate cyclase 2C"	"GUCY2C"
"2233"	"IL1RN"	""	"IL1RA,ICIL-1RA,IL1F3,IRAP,IL-1RN,MGC10430"	"interleukin 1 receptor antagonist"	"IL1RN"
"2234"	"ZBTB7A"	"ZBTB7"	"FBI-1,LRF,DKFZP547O146,POKEMON,ZNF857A"	"zinc finger and BTB domain containing 7A"	"ZBTB7A"
"2235"	"VMP1"	"TMEM49"	"EPG3,TANGO5"	"vacuole membrane protein 1"	"VMP1"
"2236"	"DKK3"	""	"REIC,RIG"	"dickkopf WNT signaling pathway inhibitor 3"	"DKK3"
"2237"	"DLX2"	""	"TES-1"	"distal-less homeobox 2"	"DLX2"
"2238"	"DLX5"	""	""	"distal-less homeobox 5"	"DLX5"
